NOSE_X,NOSE_Y,LEFT_EYE_INNER_X,LEFT_EYE_INNER_Y,LEFT_EYE_X,LEFT_EYE_Y,LEFT_EYE_OUTER_X,LEFT_EYE_OUTER_Y,RIGHT_EYE_INNER_X,RIGHT_EYE_INNER_Y,RIGHT_EYE_X,RIGHT_EYE_Y,RIGHT_EYE_OUTER_X,RIGHT_EYE_OUTER_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,MOUTH_LEFT_X,MOUTH_LEFT_Y,MOUTH_RIGHT_X,MOUTH_RIGHT_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,vitesse
-0.20236107041945295,-1.4448708477216405,-0.19511144701009883,-1.494087138076219,-0.17935841739553682,-1.4961291258798937,-0.16500256045228986,-1.4972663604712133,-0.247284977823181,-1.477320099544562,-0.2661100828026362,-1.468806808926983,-0.2816018124848318,-1.4617741593518516,-0.14783601593795948,-1.4596453644421996,-0.303045715643209,-1.4136309208042641,-0.16443181251663003,-1.3728529313254099,-0.22748083278106299,-1.3540709223838923,0.06452579540337547,-0.997916039417927,-0.38740974632870184,-0.9805901142454553,LENT
-0.24174944558457487,-1.3259060741462187,-0.2310923352669206,-1.3940461186833493,-0.21380989947227222,-1.3987786455085451,-0.19711827842019725,-1.4030030681204904,-0.27910880198080285,-1.378130350673421,-0.2910012682812833,-1.3721808921660015,-0.30373506679295736,-1.3654955662088684,-0.16076929829776304,-1.3880719177098928,-0.3113690012247425,-1.3351734089831935,-0.19480432765007655,-1.2685396062490149,-0.2567622903160682,-1.258400187850201,0.055644038797257815,-0.9984506702618459,-0.38188388067163387,-0.9725522892316106,LENT
-0.23360379209571938,-1.408854917986045,-0.21287636027095502,-1.4657699407484386,-0.19372278585799346,-1.4681392065109704,-0.17590722873507508,-1.4689096617402018,-0.27043000628440567,-1.4540538098157334,-0.2859290304360625,-1.4490683969647085,-0.2977489486882685,-1.444121716658025,-0.14580837610199143,-1.4436778602490952,-0.3087874146718575,-1.4008136531303768,-0.18853942629803086,-1.3398506599185445,-0.25334829175758433,-1.3259534936725474,0.059025571028058464,-0.9982564710357813,-0.39269164531581835,-0.9873961659231996,LENT
-0.2912406755123016,-1.3281613187343946,-0.2932638861353491,-1.375492813745307,-0.28011889826218583,-1.3853795868279186,-0.26642193835016953,-1.39437212056216,-0.3317059182523756,-1.3382377490317874,-0.34534037456440997,-1.3228752570647528,-0.35933268115766037,-1.3091524543181283,-0.22796728531391586,-1.3738981992364223,-0.35996209584374406,-1.2634160030990673,-0.23802469837587434,-1.2895680502281255,-0.2908494270162595,-1.2536868197936084,0.05351183895722159,-0.9985672151094368,-0.37663965325161136,-0.9259879146109659,LENT
-0.3376789339893322,-1.3580024502932426,-0.33678502010603734,-1.3775521173240537,-0.3238116207530234,-1.3823433325817795,-0.31061964183629853,-1.3872962327995797,-0.37144245411496285,-1.3490977509875504,-0.38329537038705314,-1.3346010648520377,-0.3947120526472278,-1.320311142032179,-0.2687180488047472,-1.3544331864671975,-0.38708842806420846,-1.2694022039244428,-0.28990891279440223,-1.3281858093230385,-0.33427610685300746,-1.2991217918678972,0.030039846111446566,-0.9995487019878524,-0.3912620446200831,-0.9007275272014487,LENT
-0.3586811218156416,-1.1784460852837102,-0.36138307821288623,-1.2418269327648066,-0.34949226602197164,-1.255766210940797,-0.33814611961821617,-1.2691568159786495,-0.39420536988865995,-1.2057922901041427,-0.4037514643247664,-1.1959725269907973,-0.4121402691928772,-1.1871861595110291,-0.2972085247786132,-1.2728049246392106,-0.3926092753885203,-1.1764786011829913,-0.3029565688383802,-1.1571133280388908,-0.3404650400511006,-1.125326769618098,0.023516471325419324,-0.9997234495481242,-0.38542501343535945,-0.87148629804754,LENT
-0.33474925238785247,-1.2654668690607418,-0.340139280887339,-1.3178063192313187,-0.3273537810657177,-1.3282404450492578,-0.314414830254219,-1.3392528861612945,-0.37524781770652543,-1.276645298824967,-0.38789411198846974,-1.2607549989668447,-0.4003936198186423,-1.2459518935405334,-0.26961205630688534,-1.331638318148944,-0.39257503363353946,-1.2104825552896645,-0.2772185435667829,-1.231490512305577,-0.3269128385633177,-1.1943246325732466,0.02264676693603594,-0.9997435290850074,-0.3960656687729808,-0.8888318694009356,LENT
-0.32886142657907574,-1.3227705181971758,-0.32778214179049675,-1.365176891790606,-0.31479346654559975,-1.3721604717255949,-0.3000187995430575,-1.3790341922418852,-0.3645029183137651,-1.335785563105098,-0.37542693400724475,-1.3212431617957474,-0.38825228746824597,-1.3068959810562095,-0.25826737182207843,-1.3564292239309685,-0.3833260090980564,-1.2550740640894653,-0.2783897214226336,-1.2842738299326122,-0.32805868299854135,-1.2535676332915986,0.029815072157631867,-0.9995554319157268,-0.39399798185107604,-0.8993193240159126,LENT
-0.289450757784616,-1.3994042538210185,-0.28966444734268587,-1.4526082991563793,-0.275689573392556,-1.461578129930182,-0.2582988401206063,-1.469127718544645,-0.3389924602980073,-1.4117746048147004,-0.3557172649719123,-1.3947508992267725,-0.37544070539485175,-1.374653184716481,-0.21301167555100436,-1.4330728420723955,-0.38296628038075875,-1.3129886196852023,-0.22195976711481533,-1.3522665588359137,-0.2985717051592617,-1.312228646524225,0.09331124807305716,-0.9956369875527167,-0.4196591048133745,-0.917623161377804,LENT
-0.297104627243641,-1.3784166651482956,-0.2983870370374305,-1.4332714842701482,-0.2844946106813703,-1.4437402713841825,-0.2675472638797478,-1.4531515380718305,-0.3473098275175246,-1.388078438222324,-0.3644317649555785,-1.3691318207875636,-0.38405481718351364,-1.3486059894770797,-0.22357827486240592,-1.420427329193663,-0.3911532775534321,-1.292291831657554,-0.2305710455434845,-1.3368718879024069,-0.30639887663568094,-1.2907224904666292,0.08311117047533624,-0.9965402818462582,-0.41946689047874564,-0.9118217343627742,LENT
