PC1,PC2,vitesse
-0.12388739930164405,-0.23827599495391283,LENT
-0.32783256403390615,0.02251969261838127,LENT
-0.2024280135419323,-0.18270708484361098,LENT
-0.5395930686959275,0.01805014633513924,LENT
-0.6475935835629333,-0.06987535661846778,LENT
-0.883882154996615,0.3264376104515989,LENT
-0.746098882578206,0.13974755833877506,LENT
-0.648875289734181,-0.0017696314534214608,LENT
-0.4615236847628579,-0.19660878177236718,LENT
-0.5156969292373168,-0.14663791437667495,LENT
-0.7746531271686949,0.176275285714679,LENT
-0.8271869035938951,0.20994171474448997,LENT
-0.6305646700715527,0.09389276001972213,LENT
-0.5219908553716262,-0.006778016091329775,LENT
-0.6613440309245906,0.12075166803137272,LENT
-0.7028726228445352,0.18887037137091234,LENT
-0.7106055109336903,0.19365458809085734,LENT
-0.6279556390630424,0.15677624372390309,LENT
-0.41908735423006527,0.026461049678155213,LENT
-0.4705014045910746,0.12644850959911125,LENT
-0.5065173819471233,0.06558926774387697,LENT
-0.3315703649618693,0.017301380189159055,LENT
-0.484547737728552,0.18992694291226098,LENT
-0.5013493057714988,0.0898151773822331,LENT
-0.49973015126523923,0.055391632126920776,LENT
-0.45742454133663646,0.17761757076357743,LENT
-0.5068013074889859,0.1722642846660607,LENT
-0.34193141392703685,-0.07893538921994026,LENT
-0.2978748636407773,-0.07666773678559391,LENT
-0.561007999754534,0.16567446190042823,LENT
-0.5476858082828749,0.3053976727658858,LENT
-0.5231870918455735,0.30658797665487203,LENT
-0.4902627284000842,0.09142668565079504,LENT
-0.5140357721638236,0.22502915899581222,LENT
-0.4601092765798174,0.2307866421732463,LENT
-0.4684994353758143,0.1004509380006775,LENT
-0.5514077524376698,0.11599907636776052,LENT
-0.555625840418985,0.3105970961424678,LENT
-0.7006345324315069,0.24754785768813736,LENT
-0.46509778461518914,-0.0171315432728818,LENT
-0.4583821743637997,-0.0275732153804773,LENT
-0.42869569245074857,-0.024915172563029664,LENT
-0.40589020229984385,-0.0944563334779982,LENT
-0.1637663496326225,-0.013102472623654826,LENT
-0.15000010224264915,-0.12836506029749017,LENT
-0.014179677323550743,-0.04405207015496426,LENT
-0.27287710118778197,0.19503930683062887,LENT
-0.2117470804680568,0.034820931734230065,LENT
-0.16882296274749664,0.058818352244691674,LENT
-0.06149482021547281,-0.03643426683107798,LENT
-0.0067362853415575685,-0.002990032316820823,LENT
-0.1697517718714776,0.04039721830706977,LENT
0.07218037468834626,-0.12798723043841154,LENT
-0.17889492282070063,0.2274422775231537,LENT
0.16442075004240086,-0.17757663336366925,LENT
0.3063669288447597,-0.07751348268539981,LENT
0.2881562297910105,-0.05288812787932606,LENT
0.3315922938224731,-0.23719354706394657,LENT
0.3455342086645634,-0.2403848275635605,LENT
0.423243252390078,0.19178497893480628,LENT
0.44005409931816475,0.23345004607577113,LENT
0.23675102058613184,-0.1979134629575796,LENT
0.29854936734727566,-0.15810233242835015,LENT
-0.5456744057661371,-0.06743361856735497,LENT
-0.5624687277218756,-0.0706140146448524,LENT
-0.5647446500582497,-0.047861361260946644,LENT
-0.5189002913173545,-0.04399310307915005,LENT
-0.39550920994848093,-0.1268156821126638,LENT
-0.22480647109763852,-0.08584110759093022,LENT
-0.34855245618503483,-0.09123642242150165,LENT
-0.4277876928480897,-0.06692734574841097,LENT
-0.4497412358434738,-0.08910118194605054,LENT
-0.332206782970742,-0.12007402694754976,LENT
-0.22439629093623248,-0.1589453961382965,LENT
-0.2165124833095191,-0.1757935951619256,LENT
-0.6985062230208209,0.183302484632474,LENT
-0.42781744037899205,-0.19384371095872233,LENT
-0.10195779564658691,-0.29912157761123837,LENT
-0.33004616510250995,-0.14896089579844674,LENT
-0.4043851353908907,-0.07436565007321239,LENT
-0.4700893844644699,-0.1243103515002657,LENT
-0.4549266134398541,-0.112329697411929,LENT
-0.4087109241971678,0.02669750726760345,LENT
-0.47914057707675983,0.12710249304820564,LENT
-0.5071880887557129,0.2181615976128315,LENT
-0.5053781664442059,0.2219626217224393,LENT
-0.5009031577143636,0.17653256288472363,LENT
